N,r,r_frac,success_mc,se,theory,batch_key
50,35,0.7,0.2644,0.006236868444981023,0.25269674351879456,N50_idx035
50,36,0.72,0.2384,0.006026034185100513,0.23934522190504587,N50_idx036
50,37,0.74,0.2302,0.005953284135668312,0.2254381447357416,N50_idx037
50,38,0.76,0.2098,0.00575819346670464,0.21099052702589677,N50_idx038
50,39,0.78,0.1972,0.005626938066124417,0.19601659352657827,N50_idx039
50,40,0.8,0.175,0.005373546315051169,0.18052983951443927,N50_idx040
50,41,0.82,0.1726,0.005344328582712706,0.16454308550230023,N50_idx041
50,42,0.84,0.1556,0.005126180644495471,0.14806852661211242,N50_idx042
50,43,0.86,0.126,0.0046930587040862805,0.13111777724573415,N50_idx043
50,44,0.88,0.1138,0.004491092517417115,0.11370191160028613,N50_idx044
50,45,0.9,0.0896,0.004039104851325353,0.09583150050029263,N50_idx045
50,46,0.92,0.0756,0.0037385729897916934,0.07751664495585468,N50_idx046
50,47,0.94,0.0566,0.003267917991627085,0.05876700680272108,N50_idx047
50,48,0.96,0.0394,0.0027512775214434473,0.039591836734693873,N50_idx048
50,49,0.98,0.0202,0.001989570807988497,0.019999999999999997,N50_idx049
100,2,0.02,0.085,0.003943982758583004,0.0835475503527924,N100_idx000
100,3,0.03,0.1084,0.004396576850232462,0.11032132552918861,N100_idx001
100,5,0.05,0.1606,0.005192449133116279,0.15470220921531436,N100_idx002
100,7,0.07,0.1928,0.005579035042012194,0.19091642623477342,N100_idx003
100,9,0.09,0.2268,0.005922191486265874,0.22135683373042295,N100_idx004
100,11,0.11,0.2566,0.006176672890804563,0.2473250190038503,N100_idx005
100,13,0.13,0.2764,0.006324603386774541,0.2696416891257625,N100_idx006
100,15,0.15,0.2924,0.006432763636260857,0.28887227866159404,N100_idx007
100,17,0.17,0.3156,0.0065726195690911544,0.3054302491498066,N100_idx008
100,19,0.19,0.3254,0.006625931481686179,0.31963119349422825,N100_idx009
100,21,0.21,0.3342,0.006670987333221372,0.331723950704147,N100_idx010
100,23,0.23,0.3482,0.0067373104426024484,0.3419097815071394,N100_idx011
100,25,0.25,0.3448,0.006721799758993122,0.35035483497152836,N100_idx012
100,27,0.27,0.352,0.006754198694145739,0.35719860638463524,N100_idx013
100,29,0.29,0.3586,0.006782419037482127,0.3625598788152431,N100_idx014
100,31,0.31,0.3666,0.006814755168015943,0.366541019882961,N100_idx015
100,33,0.33,0.369,0.00682406037487946,0.3692311663270231,N100_idx016
100,35,0.35,0.3776,0.006855920652983085,0.37070863451796554,N100_idx017
100,37,0.37,0.36,0.006788225099390856,0.3710427787126431,N100_idx018
100,39,0.39,0.3786,0.0068594757817197665,0.3702954466942653,N100_idx019
100,41,0.41,0.3728,0.0068384232100682394,0.36852213626833014,N100_idx020
100,43,0.43,0.372,0.006835437074540296,0.365772925726251,N100_idx021
100,45,0.45,0.37,0.006827884006044625,0.3620932309397341,N100_idx022
100,47,0.47,0.3474,0.00673369497378668,0.3575244276771523,N100_idx023
100,49,0.49,0.3648,0.0068076568656183015,0.3521043678619956,N100_idx024
100,50,0.5,0.3488,0.00674000830860022,0.3490860896550976,N100_idx025
100,52,0.52,0.3422,0.006709681959675883,0.34245345480992895,N100_idx026
100,54,0.54,0.3302,0.006650833932673406,0.33505144690348937,N100_idx027
100,56,0.56,0.3222,0.0066088903758497915,0.3269085711995782,N100_idx028
100,58,0.58,0.3244,0.006620644077429325,0.31805129586021474,N100_idx029
